iter	Logloss
0	0.6819032935
1	0.670875421
2	0.6607990343
3	0.6518494985
4	0.6429400653
5	0.6354062392
6	0.6280071348
7	0.6220665072
8	0.616118469
9	0.6110465375
10	0.6053645532
11	0.599319043
12	0.5950352138
13	0.590625774
14	0.5854356098
15	0.5802168445
16	0.5762843034
17	0.5719712765
18	0.5675068142
19	0.5642030411
20	0.5613381799
21	0.5588765892
22	0.5564432037
23	0.5536415809
24	0.5511231641
25	0.547954727
26	0.5457474887
27	0.5417320071
28	0.5397762426
29	0.5373071495
30	0.5356570911
31	0.5337225743
32	0.5322598902
33	0.5300026329
34	0.5277540534
35	0.5254521008
36	0.5241747031
37	0.5218393504
38	0.5207564818
39	0.5192724773
40	0.5181203375
41	0.516114019
42	0.5144608483
43	0.5122861367
44	0.5113995189
45	0.5100577711
46	0.5076291964
47	0.5052324762
48	0.5040505102
49	0.5033073749
50	0.502308395
51	0.5016250807
52	0.4997296332
53	0.4987373257
54	0.4964956213
55	0.4958151104
56	0.4942854985
57	0.4933137016
58	0.4917619052
59	0.4905855053
60	0.4894470432
61	0.4887491545
62	0.4878497263
63	0.4872771874
64	0.4867309139
65	0.4848765526
66	0.4840977958
67	0.4837011692
68	0.4831143976
69	0.4815316114
70	0.4808041137
71	0.4800885056
72	0.4795004743
73	0.479054244
74	0.4783433454
75	0.4777532434
76	0.477147686
77	0.4756832109
78	0.473878215
79	0.4732937843
80	0.4728575215
81	0.4721525138
82	0.4710787868
83	0.47045061
84	0.469444119
85	0.4686269678
86	0.4675643704
87	0.4668676778
88	0.466188737
89	0.4656932258
90	0.4642895718
91	0.4638070374
92	0.4621021121
93	0.4610254959
94	0.4582041234
95	0.4577812992
96	0.4572872023
97	0.4568823642
98	0.4564262862
99	0.4560523136
100	0.4557657431
101	0.454823428
102	0.4544347198
103	0.454060646
104	0.4536476173
105	0.4532990984
106	0.4528383537
107	0.4514569829
108	0.4503980697
109	0.4500937088
110	0.4497821848
111	0.4489972905
112	0.448139319
113	0.4476004359
114	0.4473331624
115	0.4470610594
116	0.4467114501
117	0.4455512364
118	0.4439887106
119	0.4427258663
120	0.4420925245
121	0.4409984682
122	0.4407439119
123	0.4402362681
124	0.4388227716
125	0.4382234841
126	0.4380681729
127	0.4373241625
128	0.4368713425
129	0.436613457
130	0.4363490045
131	0.436064014
132	0.4352289932
133	0.4336939311
134	0.4332814216
135	0.4330588773
136	0.4329235032
137	0.4325504498
138	0.4323299414
139	0.4321148944
140	0.4316081886
141	0.430970209
142	0.4307372058
143	0.4303530681
144	0.4293342612
145	0.4291695587
146	0.4283556774
147	0.4280426887
148	0.4270904016
149	0.4263492896
150	0.4261584701
151	0.4256575573
152	0.425414802
153	0.4251244609
154	0.4243783241
155	0.4238406576
156	0.422265728
157	0.4221162363
158	0.4219515182
159	0.4217720228
160	0.4211744196
161	0.4194420083
162	0.4177935548
163	0.4175577451
164	0.4174590688
165	0.417290147
166	0.4171793325
167	0.4164108349
168	0.4162572283
169	0.416024574
170	0.4157095945
171	0.4152761873
172	0.4148697714
173	0.4144822131
174	0.4142371667
175	0.4140435443
176	0.4139100021
177	0.4138468842
178	0.413708324
179	0.413491551
180	0.4133146691
181	0.4132479949
182	0.4130211338
183	0.4128074966
184	0.4122271372
185	0.411438463
186	0.411326745
187	0.4109820619
188	0.4105992446
189	0.4103144896
190	0.4101245007
191	0.4099644326
192	0.4095368347
193	0.40925699
194	0.4087525852
195	0.4084592801
196	0.4081509987
197	0.4077059077
198	0.4075528562
199	0.4074296341
200	0.4066823454
201	0.4063464479
202	0.4061201888
203	0.405851059
204	0.4055846442
205	0.4053818689
206	0.4051273059
207	0.404983355
208	0.4046334382
209	0.403968462
210	0.4038632742
211	0.403694499
212	0.4034188845
213	0.4033136056
214	0.4032242946
215	0.4030790398
216	0.4029584347
217	0.4028722547
218	0.4026407273
219	0.4022570652
220	0.402042256
221	0.4014709838
222	0.4009639515
223	0.40086256
224	0.4005958448
225	0.4004117747
226	0.4002846528
227	0.4001813127
228	0.3999803633
229	0.3996153075
230	0.3995317753
231	0.3993854698
232	0.398984174
233	0.3987836333
234	0.3986852243
235	0.3985962704
236	0.3984516859
237	0.3982804103
238	0.3981113553
239	0.3977214486
240	0.3972631543
241	0.3970984594
242	0.3959043132
243	0.3957735029
244	0.3953038255
245	0.3948983574
246	0.394674796
247	0.3943826268
248	0.3942812706
249	0.3940140795
250	0.3939011336
251	0.3936798097
252	0.3931546757
253	0.3929854276
254	0.3925859132
255	0.3925032353
256	0.3923109764
257	0.392198048
258	0.3921180442
259	0.3917814961
260	0.3916236348
261	0.3914051293
262	0.3911481954
263	0.3908695976
264	0.3903029181
265	0.3899726043
266	0.3894954581
267	0.3891132089
268	0.3889722439
269	0.3889036085
270	0.3885620966
271	0.3882769868
272	0.388042748
273	0.3879255786
274	0.387798505
275	0.3874498995
276	0.3872245328
277	0.3869970403
278	0.3867081906
279	0.3865367513
280	0.3863214609
281	0.3861053542
282	0.3855824535
283	0.3854262921
284	0.3851379972
285	0.3850009156
286	0.3847522323
287	0.3844672385
288	0.3843694285
289	0.3842621848
290	0.3839048803
291	0.3837486711
292	0.3834181084
293	0.3832526898
294	0.383092852
295	0.3825528181
296	0.3823590231
297	0.3819485746
298	0.3817390036
299	0.3811305559
300	0.3809470089
301	0.38066296
302	0.3805304455
303	0.3794469611
304	0.3793391478
305	0.3789438593
306	0.3787614965
307	0.3783259278
308	0.3777810138
309	0.3775130078
310	0.3772069192
311	0.3763702182
312	0.376164326
313	0.3760349397
314	0.3758412391
315	0.3757607784
316	0.3755698526
317	0.3754700532
318	0.3752004224
319	0.3748538065
320	0.3746876209
321	0.3745876903
322	0.3743888327
323	0.3742914272
324	0.3741715731
325	0.3739790969
326	0.3738464839
327	0.3737162549
328	0.3736215431
329	0.3735152133
330	0.3734092338
331	0.3724808395
332	0.3716735558
333	0.371552025
334	0.3713553162
335	0.3711698268
336	0.3705064154
337	0.3703187651
338	0.3700726954
339	0.3699034053
340	0.3697275643
341	0.3692654915
342	0.3690533523
343	0.3686849551
344	0.3685593534
345	0.3683995032
346	0.3683220623
347	0.3681898357
348	0.3679818457
349	0.3678086615
350	0.36762756
351	0.3674662765
352	0.3669898087
353	0.366763315
354	0.3665996843
355	0.3664972319
356	0.366299868
357	0.366222557
358	0.3658109733
359	0.3656564213
360	0.3655787645
361	0.3653959307
362	0.3652245083
363	0.3649550142
364	0.3648166313
365	0.3647391338
366	0.3646562121
367	0.3642781551
368	0.3638542614
369	0.3636629524
370	0.3635368285
371	0.3634351951
372	0.3632013664
373	0.3630493168
374	0.3629050627
375	0.3626501876
376	0.3622762533
377	0.3621757616
378	0.3620488066
379	0.3616890736
380	0.3614307046
381	0.3612462876
382	0.3611247634
383	0.361003225
384	0.3608907666
385	0.3607799877
386	0.3606544757
387	0.3602706218
388	0.3601372683
389	0.3600613485
390	0.3599005646
391	0.359793753
392	0.3596838395
393	0.3594047334
394	0.3592932216
395	0.358873578
396	0.358743548
397	0.358637132
398	0.3585589179
399	0.3584857977
